Process	CPU	PID	Description	Company Name	Command Line	Start Time
Secure System	Suspended	88				14:43:01 17/02/2022
Registry		156				14:43:01 17/02/2022
System Idle Process	99.47	0				14:43:05 17/02/2022
System	< 0.01	4				14:43:05 17/02/2022
 Interrupts	0.13	n/a	Hardware Interrupts and DPCs			14:43:05 17/02/2022
 smss.exe		612	Administrador de sesión de Windows	Microsoft Corporation	\SystemRoot\System32\smss.exe	14:43:05 17/02/2022
 Memory Compression		2268				14:43:12 17/02/2022
csrss.exe	< 0.01	892	Proceso en tiempo de ejecución del cliente-servidor	Microsoft Corporation	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	14:43:10 17/02/2022
wininit.exe		976	Aplicación de inicio de Windows	Microsoft Corporation	wininit.exe	14:43:11 17/02/2022
GoogleCrashHandler.exe		10892	Google Crash Handler	Google LLC	"C:\Program Files (x86)\Google\Update\1.3.36.122\GoogleCrashHandler.exe"	14:43:58 17/02/2022
GoogleCrashHandler64.exe		11248	Google Crash Handler	Google LLC	"C:\Program Files (x86)\Google\Update\1.3.36.122\GoogleCrashHandler64.exe"	14:43:59 17/02/2022
csrss.exe	< 0.01	15208	Proceso en tiempo de ejecución del cliente-servidor	Microsoft Corporation	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	13:07:15 22/02/2022
winlogon.exe		2088	Aplicación de inicio de sesión de Windows	Microsoft Corporation	winlogon.exe	13:07:15 22/02/2022
explorer.exe	< 0.01	3848	Explorador de Windows	Microsoft Corporation	C:\Windows\Explorer.EXE	13:08:10 22/02/2022
 SecurityHealthSystray.exe		11328	Windows Security notification icon	Microsoft Corporation	"C:\Windows\System32\SecurityHealthSystray.exe" 	13:08:22 22/02/2022
 RtkAudUService64.exe		11592	Realtek HD Audio Universal Service	Realtek Semiconductor	"C:\Windows\System32\RtkAudUService64.exe" -background	13:08:22 22/02/2022
 Sophos UI.exe		15180				13:08:23 22/02/2022
 SklFundKb.exe		1880	Lenovo Calliope USB Keyboard	Lenovo	"C:\Program Files (x86)\Lenovo\Lenovo Calliope USB Keyboard\SklFundKb.exe" 	13:08:24 22/02/2022
 procexp64.exe	0.50	8820	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com	"C:\Users\sdist\Downloads\ProcessExplorer\procexp64.exe" 	14:33:16 23/02/2022
 SnippingTool.exe		12460	Herramienta Recortes	Microsoft Corporation	"C:\Windows\system32\SnippingTool.exe" 	14:44:06 23/02/2022
 chrome.exe	0.13	3600	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" 	14:50:13 23/02/2022
  chrome.exe		15404	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=crashpad-handler "--user-data-dir=C:\Users\sdist\AppData\Local\Google\Chrome\User Data" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler "--database=C:\Users\sdist\AppData\Local\Google\Chrome\User Data\Crashpad" "--metrics-dir=C:\Users\sdist\AppData\Local\Google\Chrome\User Data" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=98.0.4758.102 --initial-client-data=0xf4,0xf8,0xfc,0xd0,0x100,0x7ffc45b41850,0x7ffc45b41860,0x7ffc45b41870	14:50:13 23/02/2022
  chrome.exe	< 0.01	11212	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=gpu-process --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAIAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1712 --field-trial-handle=1772,672760846470333552,10035805106829287656,131072 /prefetch:2	14:50:13 23/02/2022
  chrome.exe	< 0.01	15088	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=es --service-sandbox-type=none --mojo-platform-channel-handle=1936 --field-trial-handle=1772,672760846470333552,10035805106829287656,131072 /prefetch:8	14:50:13 23/02/2022
  chrome.exe	< 0.01	10888	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=es --service-sandbox-type=utility --mojo-platform-channel-handle=2152 --field-trial-handle=1772,672760846470333552,10035805106829287656,131072 /prefetch:8	14:50:13 23/02/2022
  chrome.exe		13728	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=es --service-sandbox-type=audio --mojo-platform-channel-handle=6052 --field-trial-handle=1772,672760846470333552,10035805106829287656,131072 /prefetch:8	14:50:28 23/02/2022
  chrome.exe	< 0.01	14892	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --display-capture-permissions-policy-allowed --lang=es --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=19 --launch-time-ticks=518853615675 --mojo-platform-channel-handle=4804 --field-trial-handle=1772,672760846470333552,10035805106829287656,131072 /prefetch:1	14:50:32 23/02/2022
  chrome.exe	< 0.01	13620	Google Chrome	Google LLC	"C:\Program Files\Google\Chrome\Application\chrome.exe" --type=renderer --extension-process --display-capture-permissions-policy-allowed --lang=es --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=20 --launch-time-ticks=518853622216 --mojo-platform-channel-handle=3244 --field-trial-handle=1772,672760846470333552,10035805106829287656,131072 /prefetch:1	14:50:32 23/02/2022
OneDrive.exe		15512	Microsoft OneDrive	Microsoft Corporation	 /updateInstalled /background	13:08:45 22/02/2022
MusNotifyIcon.exe		15712	MusNotifyIcon.exe	Microsoft Corporation	%systemroot%\system32\MusNotifyIcon.exe NotifyTrayIcon 16	9:54:40 23/02/2022
msedge.exe	< 0.01	2720	Microsoft Edge	Microsoft Corporation	"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe" --no-startup-window /prefetch:5	9:59:27 23/02/2022
firefox.exe	0.13	4992	Firefox	Mozilla Corporation	"C:\Program Files\Mozilla Firefox\firefox.exe"	14:49:34 23/02/2022

